symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
AMZN,0.7384598561724547,1.0568820194233954,0.9987012158024776,3.1568365958620825,17.543386953656388,0.9849872876021892,221.40913
AAPL,0.6713629384231903,0.611604676611618,0.9979460827370272,2.7125235465456763,13.634968751550684,0.9907102375095928,210.80878
GOOGL,0.7567354268993196,0.9106868830049976,0.998225247578208,2.317267247479225,9.636022019782931,0.9871972968325,178.56287
005930.KS,442.1778002929688,304622.7892897275,0.9979345170647616,856.3256461512128,1338694.9261491925,0.9850289594849152,61946.25
2317.TW,0.7696930457281903,1.290233356464768,0.9973813598997936,1.6417414697486523,6.659664294906584,0.9954051444482328,161.39693
MSFT,1.8887202121001747,5.782157714228233,0.9948942919603844,8.768758696559063,124.61932182135013,0.9814224415319,490.92484
JD,0.911557422427956,2.032923401673257,0.9938793630677194,0.7388328613444446,1.0623353650549694,0.967671847510588,31.060345
BABA,2.6760320221351472,15.087123484346863,0.9954474475411588,1.9221050458795883,7.736683577357219,0.9779889704090206,106.62327
T,0.1149279289527479,0.0281421547759875,0.9985023242324824,0.2120388363752038,0.0909712848066543,0.992977142231156,27.09503
META,3.3132896637399867,31.379322347207257,0.9957546386915008,8.470556088907818,150.975805583219,0.9949012608568014,719.5129
