date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-08-04,AMZN,84,0,66,18,0.0,0.8775,0.8465
2025-08-04,AAPL,84,0,54,30,0.0,0.8061,0.8977
2025-08-04,GOOGL,84,0,54,30,0.0,0.8031,0.7472
2025-08-04,005930.KS,68,16,47,5,0.5581,0.8113,0.9046
2025-08-04,2317.TW,47,27,10,10,0.8317,0.6629,0.9139
2025-08-04,MSFT,71,0,49,22,0.0,0.7981,0.8452
2025-08-04,JD,53,24,18,11,0.7615,0.7385,0.8655
2025-08-04,BABA,68,5,59,4,0.3804,0.8559,0.8236
2025-08-04,T,84,6,66,12,0.8848,0.785,0.9065
2025-08-04,META,73,11,46,16,0.6827,0.8564,0.733
